"name","phone","website","rating","reviews","query","url"
"Restoration Doctor Water Removal of Miami",,,"5.0","550","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Restoration+Doctor+Water+Removal+of+Miami/data=!4m7!3m6!1s0x88d9b77c93edddfb:0x154166e83dc6352a!8m2!3d25.7619992!4d-80.1923449!16s%2Fg%2F11y1rx5nqn!19sChIJ-93tk3y32YgRKjXGPehmQRU?authuser=0&hl=en&rclk=1"
"Eco Water Restoration",,,"4.9","60","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Eco+Water+Restoration/data=!4m7!3m6!1s0x88d9b902d888a593:0x8021b323474862c1!8m2!3d25.7691638!4d-80.3315162!16s%2Fg%2F11bwnd6kqv!19sChIJk6WI2AK52YgRwWJIRyOzIYA?authuser=0&hl=en&rclk=1"
"SERVPRO of Brickell",,,"4.6","21","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/SERVPRO+of+Brickell/data=!4m7!3m6!1s0x88d9b79800dd4987:0x9900967a747c4d9b!8m2!3d25.8125374!4d-80.2573386!16s%2Fg%2F1v2yznv4!19sChIJh0ndAJi32YgRm018dHqWAJk?authuser=0&hl=en&rclk=1"
"The Water Restoration Group - Property Damage Restoration Service",,,"4.4","53","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/The+Water+Restoration+Group+-+Property+Damage+Restoration+Service/data=!4m7!3m6!1s0x88d9b199cb6bdbdf:0x65959429d8b9130!8m2!3d25.8621668!4d-80.2070763!16s%2Fg%2F11ckvvr82z!19sChIJ39try5mx2YgRMJGLnUJZWQY?authuser=0&hl=en&rclk=1"
"Total Water Damage Restoration Miami FL",,,"5.0","28","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Total+Water+Damage+Restoration+Miami+FL/data=!4m7!3m6!1s0x88d9b725f992b241:0x8a63d5758a88d6c2!8m2!3d25.7657474!4d-80.2132046!16s%2Fg%2F11v0m61r30!19sChIJQbKS-SW32YgRwtaIinXVY4o?authuser=0&hl=en&rclk=1"
"The Mold Avengers | Restoration Company Florida",,,"4.9","88","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/The+Mold+Avengers+%7C+Restoration+Company+Florida/data=!4m7!3m6!1s0x88d9c1917464ed01:0x8ef0b2b9f14f3025!8m2!3d25.7740121!4d-80.1949204!16s%2Fg%2F11lrp6d6pj!19sChIJAe1kdJHB2YgRJTBP8bmy8I4?authuser=0&hl=en&rclk=1"
"Magic City Water Damage Restoration",,,"4.8","4","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Magic+City+Water+Damage+Restoration/data=!4m7!3m6!1s0x89c1791cb64fb1f9:0x74679e27b363e0b3!8m2!3d25.7654731!4d-80.2219597!16s%2Fg%2F11sthgck3h!19sChIJ-bFPthx5wYkRs-BjsyeeZ3Q?authuser=0&hl=en&rclk=1"
"Miami Precision Water Damage Restoration",,,"5.0","14","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Miami+Precision+Water+Damage+Restoration/data=!4m7!3m6!1s0x88d9b7535a2333e5:0x98cd918064102ec8!8m2!3d25.7649598!4d-80.1914436!16s%2Fg%2F11xsfqqvlr!19sChIJ5TMjWlO32YgRyC4QZICRzZg?authuser=0&hl=en&rclk=1"
"FDP Mold Remediation of Miami",,,"4.8","18","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/FDP+Mold+Remediation+of+Miami/data=!4m7!3m6!1s0x88d9b707bda6c6a9:0x820d13e7c2b4934e!8m2!3d25.7714672!4d-80.1899261!16s%2Fg%2F11tdrt1xzd!19sChIJqcamvQe32YgRTpO0wucTDYI?authuser=0&hl=en&rclk=1"
"Water Damage Restoration 24H Near you",,,"5.0","13","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Water+Damage+Restoration+24H+Near+you/data=!4m7!3m6!1s0x88d9b7bb2dca7b41:0xbfd1b169ed1a4c26!8m2!3d25.7486617!4d-80.2461732!16s%2Fg%2F11hcdvnyj1!19sChIJQXvKLbu32YgRJkwa7Wmx0b8?authuser=0&hl=en&rclk=1"
"Targeted Miami FL",,,"5.0","26","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Targeted+Miami+FL/data=!4m7!3m6!1s0x88f51b53797163eb:0x43fc9ce1959e0b63!8m2!3d25.8143046!4d-80.1947908!16s%2Fg%2F11ldgwqyyt!19sChIJ62NxeVMb9YgRYwueleGc_EM?authuser=0&hl=en&rclk=1"
"Water Damage Miami",,,"5.0","2","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Water+Damage+Miami/data=!4m7!3m6!1s0x88d9ac60406970c1:0x336d725f8a5dbcfc!8m2!3d25.9659617!4d-80.1443254!16s%2Fg%2F11fxvn_pzh!19sChIJwXBpQGCs2YgR_Lxdil9ybTM?authuser=0&hl=en&rclk=1"
"Quick Response Water Damage Restoration",,,"5.0","9","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Quick+Response+Water+Damage+Restoration/data=!4m7!3m6!1s0x88d9b72a5df351c9:0xe4cc6ac26540aa4e!8m2!3d25.7643756!4d-80.1934075!16s%2Fg%2F11vxh0jvrf!19sChIJyVHzXSq32YgRTqpAZcJqzOQ?authuser=0&hl=en&rclk=1"
"AquaDry Plus",,,"4.9","73","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/AquaDry+Plus/data=!4m7!3m6!1s0x88d9c1867a39595b:0xcd95385fa30c90ba!8m2!3d25.7828237!4d-80.3142949!16s%2Fg%2F11b7018wlh!19sChIJW1k5eobB2YgRupAMo184lc0?authuser=0&hl=en&rclk=1"
"New Kingdom Restoration | Water Damage Restoration | Mold Remediation | Mold Testing",,,"5.0","11","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/New+Kingdom+Restoration+%7C+Water+Damage+Restoration+%7C+Mold+Remediation+%7C+Mold+Testing/data=!4m7!3m6!1s0x143840205f7b603:0x7ba93ba7464551a!8m2!3d25.763586!4d-80.198556!16s%2Fg%2F11s8kgm8v_!19sChIJA7b3BQKEQwERGlVkdLqTugc?authuser=0&hl=en&rclk=1"
"PSR Water Damage Restoration Miami",,,"5.0","14","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/PSR+Water+Damage+Restoration+Miami/data=!4m7!3m6!1s0x467c822795c715b9:0xe3134579978351b2!8m2!3d25.5584269!4d-80.468195!16s%2Fg%2F11pb5plv73!19sChIJuRXHlSeCfEYRslGDl3lFE-M?authuser=0&hl=en&rclk=1"
"Sewer Solutions /Pipe lining /Septic",,,"4.8","83","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Sewer+Solutions+%2FPipe+lining+%2FSeptic/data=!4m7!3m6!1s0x88d9b79752831e67:0xdc3c1460285f2250!8m2!3d25.761332!4d-80.193774!16s%2Fg%2F11ry342ptf!19sChIJZx6DUpe32YgRUCJfKGAUPNw?authuser=0&hl=en&rclk=1"
"Miami 24/7 Plumbing - Miami Emergency Plumbers",,,"4.9","229","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Miami+24%2F7+Plumbing+-+Miami+Emergency+Plumbers/data=!4m7!3m6!1s0x88d9b7027ae3a455:0xadce7e27423add8!8m2!3d25.7599811!4d-80.2466763!16s%2Fg%2F11fpq83vtv!19sChIJVaTjegK32YgR2K0jdOLn3Ao?authuser=0&hl=en&rclk=1"
"Roto-Rooter Plumbing & Water Cleanup",,,"4.7","2,259","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x88d9b0d155555555:0x5863a3c0f691077a!8m2!3d25.8091697!4d-80.2245788!16s%2Fg%2F11b7757myn!19sChIJVVVVVdGw2YgRegeR9sCjY1g?authuser=0&hl=en&rclk=1"
"Main Plumbing Services",,,"4.9","229","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Main+Plumbing+Services/data=!4m7!3m6!1s0x88d9b6ed52d805f1:0xbcb06f080b805846!8m2!3d25.5584269!4d-80.468195!16s%2Fg%2F1pp2tzvgw!19sChIJ8QXYUu222YgRRliACwhvsLw?authuser=0&hl=en&rclk=1"
"2 Bros Plumbing",,,"4.8","147","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/2+Bros+Plumbing/data=!4m7!3m6!1s0x88d9b18d255efca9:0xbc70517731a3da4b!8m2!3d25.8308872!4d-80.2065159!16s%2Fg%2F11qq5__3pm!19sChIJqfxeJY2x2YgRS9qjMXdRcLw?authuser=0&hl=en&rclk=1"
"MIAMI SERVICE PLUMBERS | Emergency Plumbers in Miami",,,"4.9","48","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/MIAMI+SERVICE+PLUMBERS+%7C+Emergency+Plumbers+in+Miami/data=!4m7!3m6!1s0x88d9bbf265cfe983:0x2a2d4a13829e3745!8m2!3d25.8221767!4d-80.3139513!16s%2Fg%2F11x0p20wsl!19sChIJg-nPZfK72YgRRTeeghNKLSo?authuser=0&hl=en&rclk=1"
"Emergency Plumbing Repair - Miami, FL",,,"4.9","12","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Emergency+Plumbing+Repair+-+Miami,+FL/data=!4m7!3m6!1s0x88d9b6cefb255555:0x43bb9e274d5ebe33!8m2!3d25.7972818!4d-80.217535!16s%2Fg%2F11hy_xwfbf!19sChIJVVUl-8622YgRM75eTSeeu0M?authuser=0&hl=en&rclk=1"
"EZ Miami Plumbing Service Repair & Emergency",,,"4.3","45","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/EZ+Miami+Plumbing+Service+Repair+%26+Emergency/data=!4m7!3m6!1s0x88d9b79d76921ee9:0x94d24fa28a1c697b!8m2!3d25.7583001!4d-80.2512335!16s%2Fg%2F1hhmv0l9f!19sChIJ6R6Sdp232YgRe2kciqJP0pQ?authuser=0&hl=en&rclk=1"
"Miami Emergency Plumbing",,,"3.0","4","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Miami+Emergency+Plumbing/data=!4m7!3m6!1s0x88d9b1d7bb645f4f:0x8538c444cfc9dfd2!8m2!3d25.8308872!4d-80.2065159!16s%2Fg%2F11j7jsh8ml!19sChIJT19ku9ex2YgR0t_Jz0TEOIU?authuser=0&hl=en&rclk=1"
"Ez Plumbing Repair Services",,,"4.8","51","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Ez+Plumbing+Repair+Services/data=!4m7!3m6!1s0x88d9b7a150cb5adb:0x5de8c73deaad4ebc!8m2!3d25.7742052!4d-80.2112247!16s%2Fg%2F11w9cj3h34!19sChIJ21rLUKG32YgRvE6t6j3H6F0?authuser=0&hl=en&rclk=1"
"Miami Beach Super Plumber",,,"5.0","108","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Miami+Beach+Super+Plumber/data=!4m7!3m6!1s0x88d9b52edb6f7893:0x662e0ac178604343!8m2!3d25.7726208!4d-80.1318235!16s%2Fg%2F11gj6ypxkl!19sChIJk3hv2y612YgRQ0NgeMEKLmY?authuser=0&hl=en&rclk=1"
"Empire Plumbing",,,"4.6","291","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Empire+Plumbing/data=!4m7!3m6!1s0x88d9b47d9484adb3:0xec88e384e692ba57!8m2!3d25.793121!4d-80.143934!16s%2Fg%2F1tykw5qq!19sChIJs62ElH202YgRV7qS5oTjiOw?authuser=0&hl=en&rclk=1"
"The Plumbers",,,"4.9","72","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/The+Plumbers/data=!4m7!3m6!1s0x88d9b8529ea4ff3b:0x8fef6b268edbb265!8m2!3d25.7267078!4d-80.3166628!16s%2Fg%2F11b7y7n_5j!19sChIJO_-knlK42YgRZbLbjiZr748?authuser=0&hl=en&rclk=1"
"Sunny Bliss Plumbing & Air",,,"4.8","523","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Sunny+Bliss+Plumbing+%26+Air/data=!4m7!3m6!1s0x88d9b551e4c6ab03:0x95058abd73c13fdb!8m2!3d25.7907677!4d-80.1344936!16s%2Fg%2F11tsv3hbqj!19sChIJA6vG5FG12YgR2z_Bc72KBZU?authuser=0&hl=en&rclk=1"
"Coastal Plumbing of Brickell Inc",,,"4.9","91","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Coastal+Plumbing+of+Brickell+Inc/data=!4m4!3m3!1s0x88d9b6923da0664d:0xd7026319d464fe72!16s%2Fg%2F11bbrpn2hf!19sChIJTWagPZK22YgRcv5k1BljAtc?authuser=0&hl=en&rclk=1"
"AAAPLUMBINGSERVICES COM",,,"4.9","114","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/AAAPLUMBINGSERVICES+COM/data=!4m7!3m6!1s0x88d9b58c9158b8b5:0xfdaa270786630589!8m2!3d25.7741163!4d-80.1386226!16s%2Fg%2F11fcq3380l!19sChIJtbhYkYy12YgRiQVjhgcnqv0?authuser=0&hl=en&rclk=1"
"Oasis Plumbing",,,"5.0","112","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Oasis+Plumbing/data=!4m7!3m6!1s0x68135fb2af124a51:0xc53795f65971807b!8m2!3d25.8465201!4d-80.1730808!16s%2Fg%2F11qh6h5wzm!19sChIJUUoSr7JfE2gRe4BxWfaVN8U?authuser=0&hl=en&rclk=1"
"Miami Dade Plumbing",,,"4.9","146","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Miami+Dade+Plumbing/data=!4m7!3m6!1s0x6e9c46a180f306f7:0xcb7adcbed87ef950!8m2!3d25.6828591!4d-80.3197927!16s%2Fg%2F11v9xzxt04!19sChIJ9wbzgKFGnG4RUPl-2L7cess?authuser=0&hl=en&rclk=1"
"Advanced Plumbing Emergency Services inc.",,,"4.9","43","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Advanced+Plumbing+Emergency+Services+inc./data=!4m7!3m6!1s0x88d9c51e032470c9:0x23d098f4ce2a149f!8m2!3d25.5814454!4d-80.3257062!16s%2Fg%2F11jnv7f90w!19sChIJyXAkAx7F2YgRnxQqzvSY0CM?authuser=0&hl=en&rclk=1"
"Douglas Orr Plumbing, Inc.",,,"4.6","692","Emergency Plumber in Miami, FL","https://www.google.com/maps/place/Douglas+Orr+Plumbing,+Inc./data=!4m7!3m6!1s0x88d9ba240a63d90b:0x3d56e92e60c13099!8m2!3d25.818521!4d-80.304668!16s%2Fg%2F1tj4zhyr!19sChIJC9ljCiS62YgRmTDBYC7pVj0?authuser=0&hl=en&rclk=1"
"Sunshine Tree Trimming",,,"4.8","219","Tree Service in Miami, FL","https://www.google.com/maps/place/Sunshine+Tree+Trimming/data=!4m7!3m6!1s0x88d9b6560fcc963f:0x1db17f3124a12501!8m2!3d25.7583735!4d-80.2259111!16s%2Fg%2F11b6qy0zgl!19sChIJP5bMD1a22YgRASWhJDF_sR0?authuser=0&hl=en&rclk=1"
"Spider-Man Tree services",,,"4.9","125","Tree Service in Miami, FL","https://www.google.com/maps/place/Spider-Man+Tree+services/data=!4m7!3m6!1s0x88d9b76648e649d5:0x73c96fae6e467e57!8m2!3d25.8047247!4d-80.2068396!16s%2Fg%2F11fj7jg5r0!19sChIJ1UnmSGa32YgRV35Gbq5vyXM?authuser=0&hl=en&rclk=1"
"True Tree Service",,,"4.7","70","Tree Service in Miami, FL","https://www.google.com/maps/place/True+Tree+Service/data=!4m7!3m6!1s0x88d9c6dcc5f2ad1f:0x7f8f2f1a62ccffcf!8m2!3d25.7935773!4d-80.2235316!16s%2Fg%2F11_rpxcy5!19sChIJH63yxdzG2YgRz__MYhovj38?authuser=0&hl=en&rclk=1"
"Affordable Tree Service Inc. - Tree Service Miami",,,"5.0","73","Tree Service in Miami, FL","https://www.google.com/maps/place/Affordable+Tree+Service+Inc.+-+Tree+Service+Miami/data=!4m7!3m6!1s0x88d9bb7093359f97:0xd47da000acb6bd5!8m2!3d25.7467351!4d-80.290472!16s%2Fg%2F11g0g1zfwz!19sChIJl581k3C72YgR1WvLCgDaRw0?authuser=0&hl=en&rclk=1"
"Premium Tree Service",,,"4.8","92","Tree Service in Miami, FL","https://www.google.com/maps/place/Premium+Tree+Service/data=!4m7!3m6!1s0x88d9b6dc90f60be1:0x3affc6d83025678c!8m2!3d25.8264267!4d-80.2376101!16s%2Fg%2F11b7b3f7s3!19sChIJ4Qv2kNy22YgRjGclMNjG_zo?authuser=0&hl=en&rclk=1"
"Sam's Tree Service",,,"4.9","88","Tree Service in Miami, FL","https://www.google.com/maps/place/Sam%27s+Tree+Service/data=!4m7!3m6!1s0x88d9c168e5685d65:0x4cf3429dc9921e03!8m2!3d25.6822835!4d-80.4253444!16s%2Fg%2F11j7w55vk7!19sChIJZV1o5WjB2YgRAx6SyZ1C80w?authuser=0&hl=en&rclk=1"
"D&D Tree Service.",,,"4.9","101","Tree Service in Miami, FL","https://www.google.com/maps/place/D%26D+Tree+Service./data=!4m7!3m6!1s0x88d9b07e1469bd51:0xa5a4d5153898c11f!8m2!3d25.8572721!4d-80.2722669!16s%2Fg%2F1tf48y_j!19sChIJUb1pFH6w2YgRH8GYOBXVpKU?authuser=0&hl=en&rclk=1"
"One Two Tree",,,"4.6","258","Tree Service in Miami, FL","https://www.google.com/maps/place/One+Two+Tree/data=!4m7!3m6!1s0x88d9b8653ae48e81:0x5a27e838e4fe46f3!8m2!3d25.7305552!4d-80.3125373!16s%2Fg%2F1tffd_hq!19sChIJgY7kOmW42YgR80b-5DjoJ1o?authuser=0&hl=en&rclk=1"
"Rayner Tree Solution LLC",,,"5.0","69","Tree Service in Miami, FL","https://www.google.com/maps/place/Rayner+Tree+Solution+LLC/data=!4m7!3m6!1s0x95a755073a3c5ef:0xe6bfab3f5be3d44f!8m2!3d25.7464834!4d-80.4482804!16s%2Fg%2F11vyc_95tp!19sChIJ78Wjc1B1WgkRT9TjWz-rv-Y?authuser=0&hl=en&rclk=1"
